provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
hindsight,raw,Q001,exact,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,,5,412,64,56.61062500439584,"['M026', 'M030', 'M001', 'M043', 'M011']",['M001'],[]
hindsight,raw,Q002,exact,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,491,76,27.131584007292986,"['M023', 'M002', 'M024', 'M004', 'M037']",['M002'],[]
hindsight,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.4,2,0.0,5,400,58,23.717082920484245,"['M014', 'M038', 'M035', 'M036', 'M044']",['M005'],"['M035', 'M036']"
hindsight,raw,Q004,semantic,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,,5,639,95,29.919874970801175,"['M045', 'M025', 'M006', 'M026', 'M028']",['M006'],[]
hindsight,raw,Q005,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,398,61,43.30416605807841,"['M044', 'M035', 'M034', 'M033', 'M045']",['M007'],[]
hindsight,raw,Q006,semantic,1.0,1.0,0.2,0.25,1.0,0.0,0,,5,473,72,26.973375002853572,"['M029', 'M036', 'M047', 'M008', 'M025']",['M008'],[]
hindsight,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,336,51,26.67458401992917,"['M048', 'M012', 'M011', 'M021', 'M017']",['M012'],['M011']
hindsight,raw,Q008,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,365,49,27.40712510421872,"['M040', 'M014', 'M013', 'M022', 'M032']",['M014'],['M013']
hindsight,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,387,56,28.564375010319054,"['M016', 'M022', 'M039', 'M015', 'M042']",['M016'],['M015']
hindsight,raw,Q010,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.0,0,1.0,5,328,46,51.62095802370459,"['M016', 'M013', 'M019', 'M034', 'M033']",['M013'],['M014']
hindsight,raw,Q011,temporal_asof,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,359,52,45.71141698397696,"['M016', 'M009', 'M011', 'M012', 'M033']",['M011'],['M012']
hindsight,raw,Q012,multihop,1.0,1.0,0.6,0.5,1.0,0.0,0,,5,419,61,35.51833308301866,"['M049', 'M017', 'M019', 'M045', 'M018']","['M017', 'M018', 'M019']",[]
hindsight,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,324,45,27.600707951933146,"['M022', 'M020', 'M021', 'M039', 'M030']","['M020', 'M021', 'M022']",[]
hindsight,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,512,77,25.534040993079543,"['M023', 'M024', 'M019', 'M002', 'M004']",['M023'],['M024']
hindsight,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,583,85,30.101209064014256,"['M025', 'M026', 'M028', 'M029', 'M006']",['M025'],['M026']
hindsight,raw,Q016,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,597,86,30.878375051543117,"['M044', 'M027', 'M028', 'M046', 'M009']",['M027'],['M028']
hindsight,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,377,59,27.663334039971232,"['M044', 'M036', 'M045', 'M005', 'M035']",['M044'],['M045']
hindsight,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,398,61,28.0531250173226,"['M046', 'M047', 'M033', 'M034', 'M010']",['M046'],['M047']
hindsight,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,305,45,26.989125064574182,"['M029', 'M033', 'M030', 'M031', 'M014']",['M029'],['M030']
hindsight,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,291,43,30.14437493402511,"['M032', 'M031', 'M030', 'M034', 'M014']",['M032'],['M031']
hindsight,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,321,48,29.877458000555634,"['M033', 'M034', 'M029', 'M031', 'M044']",['M033'],['M034']
hindsight,raw,Q022,temporal_current,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,361,49,40.21158302202821,"['M038', 'M013', 'M035', 'M042', 'M043']",['M042'],['M041']
hindsight,raw,Q023,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,437,63,43.253667070530355,"['M044', 'M014', 'M033', 'M034', 'M042']",['M043'],[]
hindsight,raw,Q024,protocol,1.0,0.5,0.2,0.3333333333333333,0.0,0.2,1,1.0,5,561,86,29.744792031124234,"['M027', 'M028', 'M010', 'M037', 'M023']","['M009', 'M010']","['M037', 'M038']"
hindsight,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,420,61,26.149915996938944,"['M035', 'M013', 'M014', 'M045', 'M004']",[],[]
hindsight,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,372,51,39.27454201038927,"['M021', 'M036', 'M006', 'M033', 'M020']",[],[]
