provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,512,77,0.1765569995768601,"['M001', 'M010', 'M046', 'M047', 'M028']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,417,65,0.16577099995629396,"['M002', 'M023', 'M024', 'M011', 'M041']",['M002'],[]
bm25,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,247,39,0.11876000007760013,"['M005', 'M036', 'M035', 'M034', 'M033']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,0.24256699998659315,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,0.23701899954176042,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,0.15295199955289718,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,288,42,0.15753899970150087,"['M011', 'M012', 'M048', 'M041', 'M003']",['M012'],['M011']
bm25,raw,Q008,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,335,44,0.15549599993391894,"['M022', 'M032', 'M031', 'M014', 'M013']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,0.13435399978334317,"['M016', 'M039', 'M050', 'M022', 'M015']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,1.0,1.0,0.5,1.0,1.0,0.0,0,1.0,2,122,19,0.06438800028263358,"['M013', 'M015']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,205,30,0.045648999730474316,"['M010', 'M009']",['M011'],['M012']
bm25,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,369,59,0.26805600009538466,"['M017', 'M040', 'M039', 'M045', 'M050']","['M017', 'M018', 'M019']",[]
bm25,raw,Q013,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,473,68,0.20240699996065814,"['M022', 'M045', 'M046', 'M047', 'M020']","['M020', 'M021', 'M022']",[]
