claim	source_path	commit	field_or_line	outcome	population_sample	limitation	counterevidence
real-work benefit unestablished	team/ANSWER.20260920-133909.md	485d783d	row 1: current answer + limitation	no task-outcome evidence in interval	S11 rows only (rejection/replacement proxies)	answer page states no reduced errors/continuity evidence; no contrary record found in pinned files	
S11 coverage rule survives both sets	team/S11-ABSTAIN3/verdict.json	485d783d	rerun grids + bar_met_at [0.25, 0.5]	0.5: 5/5 decl + 3/5 holdout rejected, 0/5 lost each	10 cases/set; holdout capped 3/5; morphology gaps cap useful coverage	corvid 33-check independent recomputation agrees (CORVID-S12-2-VERIFY.md); priors failed same bar	
S11 priors failed	team/S10-BM25-ABSTAIN2/verdict.json	485d783d	grid 0.5→0/0, 1.0→2/1, 1.5→5/2	margin 2/5 + 1 lost (mechanism-fails)	constructed 5-case sets	S7 prefilter 0/5 + 1 lost (artifact-refuted); S11 rule later survives	
S13 transfer fails	team/S13-KD-COVERAGE-TRANSFER/verdict.json	485d783d	by_threshold grid; headline at 0.5	0/40 abstentions + 10/80 lost at 0.5; best 6/40 at 20/80 cost	120 probes/2 seeds; abstention-correctness is decline-or-not, not right-reason; author-ranked benchmark	corvid repro agrees 4/5 cells; divergence cell (13 vs 10) both fail (CORVID-S13-1-REPRODUCE.md)	
S13 files byte-identical	team/S13-KD-COVERAGE-TRANSFER/results.json + results-attempt1-repeated-tokens.json	485d783d	sha256 59b0a3b2… both	single result counted once	n/a (provenance hygiene)	re-executed byte-identical per corvid repro	
compose adds nothing	team/S7-COMPOSE/verdict.json	485d783d	rerun arms + finding	not-complementary; compose = pi-lcm profile (0.6)	one construction, ten cases	union-style construction untested by design	
native false replacement 22/33	team/S10-PI-LCM-HIST/verdict.json	485d783d	native 22/33 false, 0/13 missed	native-failure on broader corpus	controlled 0/32 does not generalize	S11 layer arm worsens to 33/33 on same corpus	
layer worsens to 33/33	team/S11-LAYER-HIST/verdict.json	485d783d	new.layer_broader 33/33; sensitivity grid all close_trivial_layer_class	close_trivial_layer_class; 0 missed ≠ safe	native arm embedded (prior-bound, not re-executed); compaction_measured false	corvid generator+harness+recount match every cell (CORVID-S12-1-VERIFY.md)	
KD abstention 0/40 all five	team/S10-KD-CROSS/verdict.json	485d783d	family cells: 0.53/0.12/0.00 control; dense 0.28/0.07/0.00; tfidf 0.50/0.10/0.00; hybrid 0.50/0.07/0.00; claude-mem 0.28/0.07/0.00	flat ranked retrieval has no decline concept	controlled implementations; author-ranked benchmark	S7-KD-WORLDS external lane reproduces shape (0.53/0.12/0.00)	
delivery loss under load	team/S9-DOOR-RUNG2/verdict.json	485d783d	normal→rung2-loaded cells	BM25 100→20, pi-lcm 20→0, claude-mem 100→60 at 600 chars	delivery presence, not task harm/frequency	rung-1 pressure caused no loss (S8-DOOR: all presence unchanged)	
S12-1G rejected then passed	team/CORVID-S12-1G-VERIFY.md	485d783d	verdict + round history	rounds 1-3 unsatisfiable shape (VERIFIED FAIL); round 4 VERIFIED PASS	measurement-process evidence, not efficacy evidence	S12-1 VERIFIED PASS on bound check (CORVID-S12-1-VERIFY.md)	
S13 attempt-2 caught	team/CORVID-S13-1-REPRODUCE.md	485d783d	binding section	ad-hoc script mismatch caught by Tern; pinned runner re-executes byte-identical	measurement-process evidence, not efficacy evidence	current binding holds (59b0a3b2 re-executed)	
corpus semantics open	team/S13-KD-COVERAGE-TRANSFER/verdict.json	485d783d	open_fidelity_issues[0] + registration-order issue	pooled (author) vs positional (prereg) unresolved; 10 vs 13, both fail	registration order never demonstrated	pending interpretive question; moves no outcome today	
replacement ≠ deletion	team/S11-LAYER-HIST/verdict.json	485d783d	reporting.compaction_measured false	false supersession = top-result contest, not data loss	compaction boundary uninstrumented	agentmemory 418 figure is cross-system context (S7 verdict comparison), not this measurement	
S13-1G impossible selector	team/CORVID-S13-1G-VERIFY.md	22c995f	round1 frozen_value/expression probes; round2 frozen_data table	VERIFIED FAIL both rounds; no faithful build can exit 0	gate contract vs frozen S11 declaration (both rounds)	selftest green on synthetic shapes (fixture-vs-real class)	re-issue widened the mismatch (round 2 worse); fix specified, unimplemented
S13-2G fabrication-demanding inventory	team/CORVID-S13-2G-VERIFY.md	22c995f	inventory() over real cards; validate()/audit() probes	VERIFIED FAIL both rounds; honest audit rejected (4 then 66 missing sections)	12 names (4 non-mechanisms) round 1; 73 names round 2	selftest green on clean synthetic cards	round 2 regression (12→73); fix specified, unimplemented
