item	status	evidence_or_path	next_owner_or_action
treatment runnable	ready	implementer/repo-kiln-flash/src/memory_bakeoff/providers/claude_mem_core.py sha256 53199f68…, repo be2bfa9 (ClaudeMemFTS5CoreProvider, stdlib sqlite3)	none; frozen as pinned
corpus pinned	ready	feedback_*.md glob, 21 files, 53225 bytes, per-file sha256 in corpus-pins.json (repo be6cc97 does NOT pin untracked bytes; content hashes are the pin)	re-verify content hashes at run authorization
reversible disable	ready	control arm: no provider instance + empty memory dir; same model/prompts	document in run record
task pool specified, unbuilt	missing-prerequisite	construction spec frozen in design.md (stratified, exclusions, disjoint 6-item calibration for harness validity only)	build 20 pairs + hashes before any run; no run without them
outcome rubric	fixed	narrow cued-recall endpoint (necessary, not sufficient for useful-work claims); blind grading vs frozen answers; secondary evidence delivery	grader assignment at authorization
boundary observed	partial	session restart observable with recorded state-hash transition + per-arm artifacts; compaction unmeasured and excluded	claims limited to restart persistence
confounds listed	fixed	stochasticity, selection, judging, order, pretraining, drift controls in design	none
sample/effort/stop	fixed	n=20 matched pairs; ~4 author-hours; fixed-n stop; null retires tested config only, never the class	none
P9/expose as oracle	excluded	HARNESS-OUTCOME-20260923.md: status view, not task runner	never use as outcome source
R1 negatives preserved	ready	benefit unestablished; nulls retained as context	no re-litigation in analysis
invocation v2/v3 excluded	inspected	synthetic env-fact routing scenarios (60 each); string-presence action match presumed as completion; results/ unopened (no outcome exposure)	wrong question for R2; D2 forbids the presumption
outcome-pilot excluded	inspected	10 aggregate structural events, no text, no task-level outcomes	cannot serve as task pool
prompt-habit proposal excluded	inspected	PROPOSAL-R2-explicit-prompt-habit-v1.md: needs Brian budget/decision + self-install + 5 workdays	sponsor-gated, unavailable
no-go conditions	fixed	missing pool, hash drift, or no blind grader → supported no-go	Tern disposition if triggered
