case_id,provider,answer,required_fraction,prohibited_hits,insufficient_ok,pass_answer,retrieved_ids,request_id
Q003,bm25,Staging uses Redis database number 6.,1.0,[],True,True,"['M005', 'M036', 'M035', 'M034', 'M033']",reader_bm25_Q003
Q007,bm25,The current build coordinator is strix07.,1.0,[],True,True,"['M011', 'M012', 'M048', 'M041', 'M003']",reader_bm25_Q007
Q008,bm25,shipit release --cluster pdx,1.0,[],True,True,"['M022', 'M032', 'M031', 'M014', 'M013']",reader_bm25_Q008
Q010,bm25,deployctl push --region west,1.0,[],True,True,"['M013', 'M015']",reader_bm25_Q010
Q012,bm25,INSUFFICIENT_MEMORY,0.0,[],False,False,"['M017', 'M040', 'M039', 'M045', 'M050']",reader_bm25_Q012
Q013,bm25,The consumer is media-repair; replay with `media-repair replay --source deadletter`.,1.0,[],True,True,"['M022', 'M045', 'M046', 'M047', 'M020']",reader_bm25_Q013
Q014,bm25,"Edit the source schema, run the generator, inspect the generated diff, run package tests, then run the full suite.",1.0,[],True,True,"['M023', 'M024', 'M019', 'M002', 'M011']",reader_bm25_Q014
Q015,bm25,"Reproduce under -race, add synchronization at the ownership boundary, rerun the focused race test, then rerun the whole package.",1.0,[],True,True,"['M025', 'M044', 'M008', 'M026', 'M050']",reader_bm25_Q015
Q016,bm25,INSUFFICIENT_MEMORY,0.0,[],False,False,"['M028', 'M009', 'M039', 'M050', 'M022']",reader_bm25_Q016
Q019,bm25,Target release/atlas-2.x.,1.0,[],True,True,"['M029', 'M030', 'M008', 'M031', 'M033']",reader_bm25_Q019
Q022,bm25,Use qa-fixtures-v2 for new QA fixture runs.,1.0,[],True,True,"['M041', 'M042', 'M012', 'M008', 'M034']",reader_bm25_Q022
Q024,bm25,Put diagnostic logs on stderr; keep them off stdout so stdout remains protocol frames and the logs cannot corrupt NDJSON framing.,1.0,[],True,True,"['M010', 'M027', 'M028', 'M037', 'M008']",reader_bm25_Q024
Q025,bm25,INSUFFICIENT_MEMORY,1.0,[],True,True,"['M036', 'M005', 'M004', 'M014', 'M013']",reader_bm25_Q025
Q026,bm25,INSUFFICIENT_MEMORY,1.0,[],True,True,"['M050', 'M048', 'M016', 'M010', 'M044']",reader_bm25_Q026
Q003,tfidf_cosine,Staging uses Redis database number 6.,1.0,[],True,True,"['M005', 'M036', 'M018', 'M035', 'M017']",reader_tfidf_cosine_Q003
Q007,tfidf_cosine,The current build coordinator is strix07.,1.0,[],True,True,"['M011', 'M012', 'M048']",reader_tfidf_cosine_Q007
Q008,tfidf_cosine,deployctl push --region west,0.0,['deployctl push --region west'],True,False,"['M032', 'M031', 'M022', 'M013', 'M045']",reader_tfidf_cosine_Q008
Q010,tfidf_cosine,deployctl push --region west,1.0,[],True,True,['M013'],reader_tfidf_cosine_Q010
Q012,tfidf_cosine,"Use billing-db-dsn, owned by the platform-secrets Terraform module; run the secrets-plan GitHub workflow before merge.",1.0,[],True,True,"['M017', 'M040', 'M018', 'M045', 'M019']",reader_tfidf_cosine_Q012
Q013,tfidf_cosine,The consumer is media-repair; replay with media-repair replay --source deadletter.,1.0,[],True,True,"['M022', 'M020']",reader_tfidf_cosine_Q013
Q014,tfidf_cosine,"Edit the source schema, run the generator, inspect the generated diff, run package tests, then run the full suite.",1.0,[],True,True,"['M023', 'M019', 'M002', 'M024']",reader_tfidf_cosine_Q014
Q015,tfidf_cosine,"Reproduce under -race, add synchronization at the ownership boundary, rerun the focused race test, then rerun the whole package.",1.0,[],True,True,"['M025', 'M026', 'M006']",reader_tfidf_cosine_Q015
Q016,tfidf_cosine,INSUFFICIENT_MEMORY,0.0,[],False,False,"['M009', 'M028', 'M010', 'M046', 'M044']",reader_tfidf_cosine_Q016
Q019,tfidf_cosine,Target release/atlas-2.x.,1.0,[],True,True,"['M029', 'M030', 'M031', 'M033', 'M006']",reader_tfidf_cosine_Q019
Q022,tfidf_cosine,Use qa-fixtures-v2 for new QA fixture runs.,1.0,[],True,True,"['M041', 'M042', 'M043', 'M033', 'M034']",reader_tfidf_cosine_Q022
Q024,tfidf_cosine,Put diagnostic logs on stderr; keep them off stdout so stdout remains protocol frames and logs cannot corrupt NDJSON framing.,1.0,[],True,True,"['M010', 'M027', 'M037', 'M028', 'M009']",reader_tfidf_cosine_Q024
Q025,tfidf_cosine,INSUFFICIENT_MEMORY,1.0,[],True,True,"['M036', 'M005', 'M004', 'M013', 'M035']",reader_tfidf_cosine_Q025
Q026,tfidf_cosine,INSUFFICIENT_MEMORY,1.0,[],True,True,[],reader_tfidf_cosine_Q026
Q003,dense_lsa,Staging uses Redis database number 6.,1.0,[],True,True,"['M036', 'M005', 'M035', 'M017', 'M018']",reader_dense_lsa_Q003
Q007,dense_lsa,The current build coordinator is strix07.,1.0,[],True,True,"['M011', 'M012', 'M048', 'M004', 'M006']",reader_dense_lsa_Q007
Q008,dense_lsa,shipit release --cluster pdx,1.0,[],True,True,"['M032', 'M031', 'M013', 'M014', 'M022']",reader_dense_lsa_Q008
Q010,dense_lsa,deployctl push --region west,1.0,[],True,True,"['M013', 'M015', 'M003', 'M019', 'M006']",reader_dense_lsa_Q010
Q012,dense_lsa,"Use the billing-db-dsn secret, owned by the platform-secrets Terraform module; run the secrets-plan GitHub workflow before merge.",1.0,[],True,True,"['M017', 'M018', 'M040', 'M045', 'M019']",reader_dense_lsa_Q012
Q013,dense_lsa,The consumer is media-repair; replay with `media-repair replay --source deadletter`.,1.0,[],True,True,"['M022', 'M021', 'M020', 'M003', 'M023']",reader_dense_lsa_Q013
Q014,dense_lsa,"Edit the source schema, run the generator, inspect the generated diff, run package tests, then run the full suite.",1.0,[],True,True,"['M023', 'M002', 'M019', 'M024', 'M004']",reader_dense_lsa_Q014
Q015,dense_lsa,"Reproduce under -race, add synchronization at the ownership boundary, rerun the focused race test, then rerun the whole package.",1.0,[],True,True,"['M025', 'M026', 'M006', 'M023', 'M019']",reader_dense_lsa_Q015
Q016,dense_lsa,"Capture exact frames, validate one JSON object per line, and keep logs off stdout.",1.0,[],True,True,"['M009', 'M027', 'M010', 'M028', 'M044']",reader_dense_lsa_Q016
Q019,dense_lsa,Target release/atlas-2.x.,1.0,[],True,True,"['M029', 'M030', 'M014', 'M031', 'M006']",reader_dense_lsa_Q019
Q022,dense_lsa,Use qa-fixtures-v2 for new QA fixture runs.,1.0,[],True,True,"['M042', 'M041', 'M043', 'M033', 'M034']",reader_dense_lsa_Q022
Q024,dense_lsa,Put diagnostic logs on stderr; keep them off stdout so stdout remains protocol frames and the logs cannot corrupt NDJSON framing.,1.0,[],True,True,"['M010', 'M009', 'M027', 'M037', 'M028']",reader_dense_lsa_Q024
Q025,dense_lsa,INSUFFICIENT_MEMORY,1.0,[],True,True,"['M005', 'M036', 'M035', 'M013', 'M014']",reader_dense_lsa_Q025
Q026,dense_lsa,INSUFFICIENT_MEMORY,1.0,[],True,True,[],reader_dense_lsa_Q026
Q003,hybrid_rrf,Staging uses Redis database number 6.,1.0,[],True,True,"['M005', 'M036', 'M035', 'M034', 'M033']",reader_hybrid_rrf_Q003
Q007,hybrid_rrf,The current build coordinator is strix07.,1.0,[],True,True,"['M011', 'M012', 'M048', 'M005', 'M018']",reader_hybrid_rrf_Q007
Q008,hybrid_rrf,shipit release --cluster pdx,1.0,[],True,True,"['M032', 'M031', 'M022', 'M013', 'M014']",reader_hybrid_rrf_Q008
Q010,hybrid_rrf,deployctl push --region west,1.0,[],True,True,"['M013', 'M015', 'M003', 'M019', 'M006']",reader_hybrid_rrf_Q010
Q012,hybrid_rrf,"Use the billing-db-dsn secret, owned by the platform-secrets Terraform module; run the secrets-plan GitHub workflow before merge.",1.0,[],True,True,"['M017', 'M040', 'M045', 'M019', 'M018']",reader_hybrid_rrf_Q012
Q013,hybrid_rrf,The consumer is media-repair; replay with `media-repair replay --source deadletter`.,1.0,[],True,True,"['M022', 'M020', 'M046', 'M047', 'M028']",reader_hybrid_rrf_Q013
Q014,hybrid_rrf,"Edit the source schema, run the generator, inspect the generated diff, run package tests, then run the full suite.",1.0,[],True,True,"['M023', 'M024', 'M002', 'M019', 'M018']",reader_hybrid_rrf_Q014
Q015,hybrid_rrf,"Reproduce under -race, add synchronization at the ownership boundary, rerun the focused race test, then rerun the whole package.",1.0,[],True,True,"['M025', 'M026', 'M006', 'M050', 'M046']",reader_hybrid_rrf_Q015
Q016,hybrid_rrf,"Capture exact frames, validate one JSON object per line, and keep logs off stdout.",1.0,[],True,True,"['M009', 'M028', 'M027', 'M044', 'M046']",reader_hybrid_rrf_Q016
Q019,hybrid_rrf,Target release/atlas-2.x.,1.0,[],True,True,"['M029', 'M030', 'M031', 'M014', 'M033']",reader_hybrid_rrf_Q019
Q022,hybrid_rrf,Use qa-fixtures-v2 for new QA fixture runs.,1.0,[],True,True,"['M041', 'M042', 'M033', 'M034', 'M014']",reader_hybrid_rrf_Q022
Q024,hybrid_rrf,Put diagnostic logs on stderr; keep them off stdout so stdout remains protocol frames and the logs cannot corrupt NDJSON framing.,1.0,[],True,True,"['M010', 'M027', 'M028', 'M037', 'M009']",reader_hybrid_rrf_Q024
Q025,hybrid_rrf,INSUFFICIENT_MEMORY,1.0,[],True,True,"['M036', 'M005', 'M004', 'M035', 'M014']",reader_hybrid_rrf_Q025
Q026,hybrid_rrf,INSUFFICIENT_MEMORY,1.0,[],True,True,"['M050', 'M048', 'M016', 'M010', 'M044']",reader_hybrid_rrf_Q026
