item	status	evidence_or_path	next_owner_or_action
treatment runnable	ready	implementer/repo-kiln-flash/src/memory_bakeoff/providers/claude_mem_core.py sha256 53199f68…, repo be2bfa9 (ClaudeMemFTS5CoreProvider, stdlib sqlite3)	none; frozen as pinned
corpus pinned	ready	ai-notes/claude-memory/feedback_*.md, 79 files, repo be6cc97 (untracked strix-halo/* outside corpus noted)	re-verify hash at run authorization
reversible disable	ready	control arm: no provider instance + empty memory dir; same model/prompts	document in run record
task pool specified, unbuilt	missing-prerequisite	construction spec frozen in design.md (stratified, exclusions, calibration gate)	build 20 pairs + hashes before any run; no run without them
outcome rubric	fixed	primary task completion (blind grading vs frozen answers); secondary evidence delivery	grader assignment at authorization
boundary observed	partial	session restart observable; compaction unmeasured and excluded	claims limited to restart persistence
confounds listed	fixed	stochasticity, selection, judging, order, pretraining, drift controls in design	none
sample/effort/stop	fixed	n=20 matched pairs; ~4 author-hours; fixed-n stop, null≠proof	none
P9/expose as oracle	excluded	HARNESS-OUTCOME-20260923.md: status view, not task runner	never use as outcome source
R1 negatives preserved	ready	benefit unestablished; nulls retained as context	no re-litigation in analysis
no-go conditions	fixed	missing pool, hash drift, or no blind grader → supported no-go	Tern disposition if triggered
