L1	DRY	2026-09-24T02:22:03.255Z	step ; worker wakes 0->0, verifier 0->0
L5-rest	DRY	2026-09-24T02:22:03.272Z	185 s, >=3 checks, all rest
L2	DRY	2026-09-24T02:22:03.285Z	restarts ->, worker wakes 0->0
L2-settle	DRY	2026-09-24T02:22:03.300Z	timed-out by its deadline: one /cancel, one director wake; no open work
L3a	DRY	2026-09-24T02:22:03.309Z	watchdog window 1790216523..1790216523 (onset 1790216523, restart 1790216523)
L7c	DRY	2026-09-24T02:22:03.370Z	window FAIL(PARSE-ERROR JSONDecodeError), after PARSE-ERROR JSONDecodeError
L3b	DRY	2026-09-24T02:22:03.396Z	hung but duty not woken
L4a	DRY	2026-09-24T02:22:03.436Z	restart-loop -> duty ack (owner/next/deadline) -> recovered on fresh pass
L7-checker	DRY	2026-09-24T02:22:03.451Z	hold ledger lock 45 s; expect handler duty wake <= 60 s; recovery <= 45 s after release
L7a	DRY	2026-09-24T02:22:03.456Z	bytes preserved, duty woken once over >=3 checks
L7b	DRY	2026-09-24T02:22:03.500Z	PARSE-ERROR JSONDecodeError
L5-stray	DRY	2026-09-24T02:22:03.533Z	scheduled restarts 0, state , marker ls: cannot access '/tmp/claude-1000/-var-home-bmosher/09b5ba50-67c7-4535-b27c-5baa3e1c4fa8/scratchpad/dry-root-ms1/fxdryms1.db.stop': No such file or directory
L5-stopped	DRY	2026-09-24T02:22:03.535Z	245 s, >=3 checks, all stopped
L6-timing	DRY	2026-09-24T02:22:03.536Z	deadline/settled/ack timestamps
L6	DRY	2026-09-24T02:22:03.537Z	replay the captured callback argv; expect rc 0, already-handled, no new effects
L6b	DRY	2026-09-24T02:22:03.598Z	unreadable timeout record: Expecting value: line 1 column 1 (char 0)
L4b	DRY	2026-09-24T02:22:03.624Z	duty wake failed -> director woken in the same check -> director ack recorded
