provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
perseus_vault,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,494,77,94.5514589548111,"['M001', 'M017', 'M047', 'M010', 'M045']",['M001'],[]
perseus_vault,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,470,70,15.237540937960148,"['M002', 'M003', 'M037', 'M024', 'M023']",['M002'],[]
perseus_vault,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,274,40,15.110375010408461,"['M005', 'M035', 'M036', 'M018', 'M013']",['M005'],"['M035', 'M036']"
perseus_vault,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,586,88,15.201541944406927,"['M006', 'M047', 'M046', 'M026', 'M045']",['M006'],[]
perseus_vault,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,613,99,15.040540951304138,"['M007', 'M045', 'M026', 'M020', 'M027']",['M007'],[]
perseus_vault,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,340,52,15.582542051561177,"['M008', 'M005', 'M035', 'M036', 'M021']",['M008'],[]
perseus_vault,raw,Q007,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,331,48,14.935042010620236,"['M012', 'M011', 'M048', 'M019', 'M013']",['M012'],['M011']
perseus_vault,raw,Q008,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,398,55,15.138500020839274,"['M014', 'M022', 'M013', 'M045', 'M011']",['M014'],['M013']
perseus_vault,raw,Q009,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,374,56,15.409959014505148,"['M015', 'M016', 'M002', 'M039', 'M018']",['M016'],['M015']
perseus_vault,raw,Q010,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,425,59,15.610500006005168,"['M014', 'M013', 'M022', 'M045', 'M038']",['M013'],['M014']
perseus_vault,raw,Q011,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,364,55,15.481707989238203,"['M010', 'M011', 'M024', 'M013', 'M012']",['M011'],['M012']
perseus_vault,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,430,62,14.93208296597004,"['M017', 'M040', 'M018', 'M019', 'M045']","['M017', 'M018', 'M019']",[]
perseus_vault,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,361,49,15.303290914744139,"['M020', 'M022', 'M039', 'M021', 'M017']","['M020', 'M021', 'M022']",[]
perseus_vault,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,543,83,14.83700005337596,"['M023', 'M024', 'M002', 'M019', 'M045']",['M023'],['M024']
perseus_vault,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,695,108,15.018084086477757,"['M025', 'M026', 'M006', 'M008', 'M007']",['M025'],['M026']
perseus_vault,raw,Q016,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,530,77,14.840958989225328,"['M009', 'M027', 'M028', 'M010', 'M037']",['M027'],['M028']
perseus_vault,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,467,70,15.270042000338435,"['M044', 'M014', 'M045', 'M005', 'M017']",['M044'],['M045']
perseus_vault,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,566,87,15.01149998512119,"['M046', 'M047', 'M025', 'M045', 'M024']",['M046'],['M047']
perseus_vault,raw,Q019,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0,1.0,3,147,22,16.959749977104366,"['M029', 'M031', 'M033']",['M029'],['M030']
perseus_vault,raw,Q020,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0,1.0,3,137,22,17.26424996741116,"['M032', 'M030', 'M034']",['M032'],['M031']
perseus_vault,raw,Q021,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0,1.0,3,147,22,17.006083973683417,"['M033', 'M029', 'M031']",['M033'],['M034']
perseus_vault,raw,Q022,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,363,49,15.108624938875437,"['M042', 'M041', 'M043', 'M012', 'M013']",['M042'],['M041']
perseus_vault,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,462,63,14.984125038608909,"['M043', 'M042', 'M041', 'M044', 'M014']",['M043'],[]
perseus_vault,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1,1.0,5,530,77,14.965665992349386,"['M010', 'M027', 'M037', 'M028', 'M009']","['M009', 'M010']","['M037', 'M038']"
perseus_vault,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,320,48,14.992167009040713,"['M036', 'M018', 'M004', 'M005', 'M017']",[],[]
perseus_vault,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,496,74,15.14404104091227,"['M006', 'M027', 'M038', 'M010', 'M050']",[],[]
