L1	DRY	2026-09-23T17:49:11.561Z	step ; worker wakes 0->0, verifier 0->0
L5-rest	DRY	2026-09-23T17:49:11.570Z	185 s, >=3 checks, all rest
L2	DRY	2026-09-23T17:49:11.586Z	restarts ->, worker wakes 0->0
L2-settle	DRY	2026-09-23T17:49:11.593Z	timed-out by its deadline: one /cancel, one director wake; no open work
L3a	DRY	2026-09-23T17:49:11.602Z	restart without a watchdog line
L7c	DRY	2026-09-23T17:49:11.655Z	window FAIL(PARSE-ERROR JSONDecodeError), after PARSE-ERROR JSONDecodeError
L3b	DRY	2026-09-23T17:49:11.671Z	hung but duty not woken
L4a	DRY	2026-09-23T17:49:11.691Z	restart-loop -> duty ack (owner/next/deadline) -> recovered on fresh pass
L7a	DRY	2026-09-23T17:49:11.703Z	bytes preserved, duty woken once over >=3 checks
L7b	DRY	2026-09-23T17:49:11.739Z	PARSE-ERROR JSONDecodeError
L5-stray	DRY	2026-09-23T17:49:11.760Z	scheduled restarts 0, state , marker ls: cannot access '/tmp/p10-plan-rehearsal-aFb1/root/fxREHEARSAL1.db.stop': No such file or directory
L5-stopped	DRY	2026-09-23T17:49:11.763Z	245 s, >=3 checks, all stopped
L6-timing	DRY	2026-09-23T17:49:11.764Z	deadline/settled/ack timestamps
L6	DRY	2026-09-23T17:49:11.766Z	interrupted once while run was stopped: one /cancel, one director wake; replay already-handled
L6b	DRY	2026-09-23T17:49:11.817Z	unreadable timeout record: Expecting value: line 1 column 1 (char 0)
L4b	DRY	2026-09-23T17:49:11.832Z	duty wake failed -> director woken in the same check -> director ack recorded
