L1	FAIL	2026-09-23T14:24:30.527Z	step ; worker wakes 0->0, verifier 0->0
L5-rest	DRY	2026-09-23T14:24:30.537Z	3 min, >=3 checks, all rest
L2	FAIL	2026-09-23T14:24:30.552Z	restarts ->, worker wakes 0->0
L3a	FAIL	2026-09-23T14:24:30.564Z	restart without a watchdog line
L7c	FAIL	2026-09-23T14:24:30.648Z	window FAIL(), after 
L3b	FAIL	2026-09-23T14:24:30.666Z	hung but duty not woken
L4a	PASS	2026-09-23T14:24:30.689Z	restart-loop -> duty ack (owner/next/deadline) -> recovered on fresh pass
L7a	PASS	2026-09-23T14:24:30.701Z	bytes preserved, duty woken once over >=3 checks
L7b	FAIL	2026-09-23T14:24:30.758Z	
L5-stray	FAIL	2026-09-23T14:24:30.779Z	scheduled restarts 0, state , marker ls: cannot access '/tmp/p10-plan-rehearsal-aFb1/root/fxREHEARSAL1.db.stop': No such file or directory
L5-stopped	DRY	2026-09-23T14:24:30.781Z	3 min, >=3 checks, all stopped
L6	PASS	2026-09-23T14:24:30.783Z	interrupted once while run was stopped: one /cancel, one director wake; replay already-handled
L4b	PASS	2026-09-23T14:24:30.795Z	duty wake failed -> director woken in the same check -> director ack recorded
